calories,total_fat,sodium,vitamin_d,calcium,iron,potassium,protein,carbohydrate,fiber,sugars,water
401,24,745,0,108,2.51,173,6,40.95,3.8,3.46,26.52
669,59,149,417,289,9.56,264,33.63,0.66,0,0.23,3.08
368,6.1,5,0,47,4.57,563,14.12,64.16,7,0,13.28
141,4.9,150,0,4,5.5,250,22.81,0,0,0,72.57
373,30,600,22,746,0.72,81,24.48,0.68,0,0.5,41.01
105,2.7,42,47,40,0.53,287,18.88,0,0,0,75.37
404,33,653,24,710,0.14,76,22.87,3.09,0,0.48,37.02
376,29,690,0,673,0.64,93,25.18,3.06,0,0,39.28
884,100,0,0,0,0,0,0,0,0,0,0
236,4.4,353,0,65,3.12,147,10.4,39.8,4.5,7.7,44
268,15,764,11,32,1.67,622,6.08,27.81,3.3,1.79,47.77
172,13,566,31,165,1.19,231,7.89,5.9,0.7,1.85,70.73
309,30,1465,0,23,2.41,170,11.69,5.31,2.6,0,48.98
131,5.9,26,0,317,6.65,668,3.31,20.7,14.1,0,67.77
325,2.2,2,0,37,4.97,717,15.91,68.63,23.8,2.31,10.75
884,100,0,0,0,0,0,0,0,0,0,0
407,6.6,698,0,76,4.08,124,11.9,73.5,5.1,0,5.5
282,13,68,0,229,21.14,2280,14.14,53.99,34.9,10.34,11.24
123,4.9,29,0,14,0.32,496,18.51,0,0,0,75.95
32,1,1,0,7,0.62,268,0.96,5.84,1.9,3.93,91.63
296,0.5,28,0,28,2.59,825,2.52,78.47,6.8,0,16.57
209,16,1071,26,123,3,135,11.42,4.68,0.5,2.9,64.55
127,5.6,49,988,41,1.24,333,17.83,0,0,0,76.31
198,1.3,16,0,28,2.14,169,7.49,42.53,1.1,0,47.75
87,0.7,31,0,10,0.83,392,18.99,0,0,0,76.35
87,0.6,135,0,34,0.65,379,18.99,0,0,0,79.63
310,5.9,148,0,111,11.1,1724,11.43,65.37,3.9,0,11.9
338,2.4,8,0,27,4.44,388,14.57,70.19,10.7,6.82,11.02
15,0.5,498,0,33,2.5,151,1.1,2.4,1.6,1.06,94.3
534,42,30,0,255,5.73,813,18.29,28.88,27.3,1.55,6.96
413,32,714,24,1011,0.17,81,29.81,0.36,0,0.36,33.19
466,30,600,0,400,0.52,1409,9.65,42.65,0,0,13.44
389,31,800,23,550,0.23,64,25.6,1.55,0,1.55,37.92
717,81,643,0,24,0.02,24,0.85,0.06,0,0.06,15.87
884,100,0,0,0,0.07,0,0,0,0,0,0
446,14,687,0,172,3.58,114,7.6,71.73,3.4,10.32,4.7
269,4.4,447,0,66,2.7,142,8.4,48.5,4,8.14,36.7
239,0.6,28,0,74,2.8,628,2.8,62.5,5.1,38.8,31.4
354,3.4,5,0,8,2.81,40,13,80,2.7,0.55,2.5
213,14,482,13,7,1.89,158,8.06,14.06,0.3,0.2,62.47
884,100,0,0,0,0,0,0,0,0,0,0
884,100,0,0,0,0,0,0,0,0,0,0
338,3.1,545,0,23,3.92,88,8.2,69.39,1.7,0.25,15
120,1.9,7,0,17,1.49,172,4.4,21.3,2.8,0.87,71.61
122,0.4,4,0,3,0.6,499,1.3,31.89,2.3,15,65.28
36,0.8,56,0,138,6.2,554,2.97,6.33,3.3,0.85,87.71
354,2.3,12,0,33,3.6,452,12.48,73.48,17.3,0.8,9.44
387,27,1433,20,1064,0.77,86,31.8,3.63,0,0.73,30.91
315,7.4,129,6,251,0.17,350,6.84,55.35,0,49.74,28.71
23,0.3,22,0,19,0.57,302,1.43,4.48,0.9,0.6,93.14
195,11,14,0,96,2.13,401,19.91,7.62,0,0,59.56
158,18,722,0,16,0.87,106,18.01,4.05,0.3,0.47,57.41
119,1,2,0,3,0.63,62,3.51,23.67,1.3,0.13,71.41
